title,id,rate,review
   그와 나의 45cm,gks***,0,리뷰보고 구입했는데 너무 실망이네요 지루해요.. 읽다가 포기했어요ㅜ 연하물 되게 좋아하는데 이건뭐...아무튼 한권이라 다행이네요
   그와 나의 45cm,ohj***,0,읽다가 중도하차합니다..
   그와 나의 45cm,wjd***,1,작가님 책들 재미있게 읽어서 기대가 너무 컸나봅니다. 중간까지 너무 지루해서 덮을까하다 중간 지나고 재밌네요  여주 매력을 모르겠음.
   그와 나의 45cm,kun***,0,너무 안읽혀서 실망이에요 ㅠ
   그와 나의 45cm,rla***,0,재미없음 너무 지루함 주인공 둘다 무매력 아ㅡㅡ돈아까워돌겟네
   그와 나의 45cm,sat***,0,산만산만 산만학요ㅜㅜ돈아까워 대충이라도 스킵
   그와 나의 45cm,i33***,0,작가님 소설중 제일 벌점 낮게 드려요. 제 취향이 아니에요. 달달한 면도 잔잔하면서 간질한 면도 몽글몽글 러브모드도 없어요. 이 책과 저의 거리가 45cm는 되는 것 같아요. 잘 안 읽혀요.
   그와 나의 45cm,whi***,1,재밌어요! 연하에 또라이기질 좋네요
   그와 나의 45cm,che***,0,초반 까지 읽을만해요  할아버지 등장하는순간 유치해지기 하는데  너무유치해요
   그와 나의 45cm,shy***,0,아...개별로예요 ㅋㅋ 더티토크가아니라.그냥 한남 ㅋㅋ 초면에 따먹는다니 뭔 개소리 그거에 휘둘리는 여주도이상 악녀는 코르셋범벅에... wow..
   그와 나의 45cm,dlg***,0,개취지만 별로네요..
   그와 나의 45cm,ehd***,0,'나의 50초입니다' 로 접하게 된 작가님이예요~ 전작을 너무 재밌게 봐서 구입했는데 기대치에는 조금 못미치네요  다른 책도 전자책으로 빨리 뵙게되면 좋겠습니다
   그와 나의 45cm,cmk***,1,상처 많은 남녀가 서로를 만나 아껴주고 믿어주는 모습이 좋았네요. 다섯살 연하지만 마냥 어리지만은 않던 남주가 믿음직스러웠습니다.
   그와 나의 45cm,fre***,0,하... 몽련하숙집 참 잼있게 봤는데 이건 할아버지 부분부터 도저히 못읽겠네요 진짜 제일 싫어하는 인소같아요
   그와 나의 45cm,yeb***,0,미리보기랑 그 이후의 분위기가 많이 다르네요 5살 연하남인데 끝까지 동생같은 느낌이라 제 취향이 아니라서 별로인게 큽니다 연주모르게 일처리하는것두 많지만 두사람이 같이 있는 장면..하물며 씬에서도 준성이가 연주보다 연하라는 느낌이 팍팍드네요 두사람 다 어머니가 어머니같지 않은 사람들 때문에 가진 상처로 서로 보듬어 가며 살것 같긴해요
